Unnamed: 0,rmse,mean,median,std,min,max,sse
freiburg3_long_office_household_proposed_ape.zip,0.0198931036144416,0.0175582290805642,0.015434545878439,0.0093511583758023,0.0009689914871804,0.061868051777586,0.1614601131372837
freiburg3_long_office_household_reinhard_ape.zip,1.2639768777043572,1.0676787609115823,0.9684896678575154,0.6765350034326115,0.254469087392225,2.7037046681083763,613.4928181905622
freiburg3_structure_texture_near_baseline_ape.zip,0.0115119005863375,0.0104124388205389,0.0109096260643567,0.0049096815495765,0.0025344812027868,0.0223512727385378,0.0119271469598747
freiburg3_structure_texture_near_clahe_ape.zip,0.0142772939441235,0.0133910751935293,0.0135215892827903,0.0049517903356413,0.0039206134187002,0.0261526272239922,0.0267031870300649
freiburg3_structure_texture_near_mertens_ape.zip,0.0140669968733908,0.0127168750739048,0.0124208885897011,0.0060134423910671,0.0019147753393845,0.02886257948473,0.0265159737388222
freiburg3_structure_texture_near_proposed_ape.zip,0.0110705139657621,0.0099716592600958,0.0096315541308455,0.004808564345694,0.000707482808918,0.022497173594653,0.012745853064478
freiburg3_structure_texture_near_reinhard_ape.zip,0.0126103967418166,0.0115116403388097,0.0112270631061088,0.0051482271410562,0.0032294511795771,0.0243153904291598,0.0149480779626858
freiburg3_walking_xyz_baseline_ape.zip,0.0134657584318191,0.0118770274092364,0.0114661027389376,0.0063453029923205,0.0025366933729665,0.0250993609478851,0.0099729657579259
freiburg3_walking_xyz_clahe_ape.zip,0.01444712226579,0.011636927320529,0.0092778629606877,0.0085616157528477,0.0023945076753286,0.0425064918765014,0.0118970024804731
freiburg3_walking_xyz_mertens_ape.zip,0.0557838319949291,0.0369095678313756,0.0231286464918983,0.041827260423551,0.0046715531144918,0.2385870069478837,0.1742628110741548
freiburg3_walking_xyz_proposed_ape.zip,0.013062622141046,0.0121733777609761,0.0113568290893031,0.0047371902102742,0.0027755296907259,0.0221117029148276,0.0088728690543868
freiburg3_walking_xyz_reinhard_ape.zip,0.1645682407369307,0.1368511123761529,0.1007697431508292,0.0914028385809649,0.0293823089033965,0.4087020803749387,2.085368351162126
