sequence,variant,metric,rmse,mean,median,std,min,max,sse,name
V2_01_easy,baseline,APE_Sim3_trans_m,0.0637551125647262,0.0602362752725764,0.0633244774082508,0.0208879276001068,0.0037796737272422,0.1056019351289117,0.971466736375679,euroc_V2_01_easy_baseline_ape.zip
V2_01_easy,clahe,APE_Sim3_trans_m,0.0576498514991724,0.0510412836411651,0.0511813896160239,0.0268009839770624,0.0040977570891259,0.1117056466029423,1.2695790543488736,euroc_V2_01_easy_clahe_ape.zip
V2_01_easy,mertens,APE_Sim3_trans_m,0.0559178229281953,0.0504741807674763,0.0480002181692209,0.0240657432231196,0.0032819670711497,0.1028903363619573,0.847363591598862,euroc_V2_01_easy_mertens_ape.zip
V2_01_easy_proposed,proposed,APE_Sim3_trans_m,0.3760321987719666,0.3309631509262192,0.2747222160718285,0.1785038017585855,0.0517069341803371,0.7888471343961706,41.854463495930815,euroc_V2_01_easy_proposed_C_ape.zip
V2_01_easy,reinhard,APE_Sim3_trans_m,0.0633246815512683,0.0591214519004195,0.0649547200338108,0.0226863222836124,0.0087344551146586,0.1025411157307925,0.8461132269431753,euroc_V2_01_easy_reinhard_ape.zip
V2_02_medium,baseline,APE_Sim3_trans_m,0.0805258313250255,0.0767409724105492,0.0787339591171703,0.0243973905176308,0.0148578275384112,0.128826619774648,1.77672820590069,euroc_V2_02_medium_baseline_ape.zip
V2_02_medium,clahe,APE_Sim3_trans_m,0.0584892193194247,0.0559613961252865,0.0580083313334248,0.0170091422565788,0.0107064742179342,0.0991636658577268,1.611285713776609,euroc_V2_02_medium_clahe_ape.zip
V2_02_medium,mertens,APE_Sim3_trans_m,0.0589168872394726,0.0557587774648819,0.0577468898172369,0.0190304581555595,0.0164589739280695,0.1034780781593522,1.336411846765661,euroc_V2_02_medium_mertens_ape.zip
V2_02_medium_proposed,proposed,APE_Sim3_trans_m,0.0671375857060097,0.0593558393309227,0.0539206369693289,0.0313741892604971,0.0098878495573742,0.1820491831526012,1.39731117847386,euroc_V2_02_medium_proposed_C_ape.zip
V2_02_medium,reinhard,APE_Sim3_trans_m,0.0559077673104208,0.0527460151393925,0.0522951220390478,0.0185347331394638,0.0171974876824251,0.099925851468141,0.6907749364855922,euroc_V2_02_medium_reinhard_ape.zip
V2_03_difficult,baseline,APE_Sim3_trans_m,0.361868661722515,0.2583235597949286,0.169914217347002,0.2534124440348578,0.0241843177849539,1.2575231557080224,40.07037207107426,euroc_V2_03_difficult_baseline_ape.zip
V2_03_difficult,clahe,APE_Sim3_trans_m,0.5850876338107872,0.5033092849811015,0.4347762259708343,0.2983409172241014,0.0313286826062506,1.2546840783586566,151.99342742180778,euroc_V2_03_difficult_clahe_ape.zip
V2_03_difficult,mertens,APE_Sim3_trans_m,0.6492963987632674,0.4111298817961193,0.2461700162688095,0.5025515234692429,0.0202344336452729,3.3007682198585764,196.88057487972472,euroc_V2_03_difficult_mertens_ape.zip
